UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
613779,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,13-Oct-88,-37.00972,142.72417,15,,,,,FLORA,113,VIC,357,2,3396,246005,,00:00.0
2001011,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,16-Feb-99,-38.06222,147.55722,15,,,,,FLORA,23,VIC,370,9,,392381,,00:00.0
2001732,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,12-May-99,-38.05917,147.55528,15,,,,,FLORA,27,VIC,370,9,,392411,,00:00.0
2001967,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,13-May-99,-38.15,147.4225,15,,,,,FLORA,32,VIC,370,9,3362,392419,,00:00.0
2002392,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,15-Oct-99,-38.075,147.53083,15,,,,,FLORA,35,VIC,370,9,3362,392434,,00:00.0
2655033,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,auto review from accepted distrib,Species List for Defined Area,2-Nov-09,-37.03861,142.37806,5,,,,,FLORA,51,VIC,332,2,,408121,,00:00.0
3892275,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,5-Nov-89,-37.22267,144.04555,100,3,,,Seen,FAUNA,60,VIC,353,4,,428241,,00:00.0
3913538,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,13-Oct-90,-36.9404,145.1478,100,,,,Observation,FAUNA,26,VIC,364,6,171,431260,,00:00.0
3920111,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,23-Jul-91,-36.50235,145.77686,100,6,,,Observation,FAUNA,9,VIC,364,6,,431559,,00:00.0
3922496,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,General observations,13-Sep-91,-38.31185,144.14823,100,,,,Seen,FAUNA,37,VIC,365,5,1050,431798,,00:00.0
3923667,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14-Nov-91,-38.35692,144.97151,100,4,,,Captured and released,FAUNA,100,VIC,352,7,,431834,,00:00.0
3923610,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14-Nov-91,-38.35692,144.97151,100,2,,,Heard,FAUNA,100,VIC,352,7,,431834,,00:00.0
3923643,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14-Nov-91,-38.35692,144.97151,100,3,,,Heard,FAUNA,100,VIC,352,7,,431834,,00:00.0
3923874,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14-Nov-91,-38.35598,144.96925,100,3,,,Captured and released,FAUNA,99,VIC,352,7,,431836,,00:00.0
3923874,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14-Nov-91,-38.35598,144.96925,100,3,,,Captured and released,FAUNA,99,VIC,352,7,,431836,,00:00.0
3923824,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14-Nov-91,-38.35598,144.96925,100,3,,,Heard,FAUNA,99,VIC,352,7,,431836,,00:00.0
3926167,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,General observations,8-Jun-91,-37.28102,143.07973,100,17,,,Captured and released,FAUNA,24,VIC,301,3,3338,431902,,00:00.0
3929575,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3929575,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3929576,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3929576,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3929574,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,2,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3929574,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,24-Feb-92,-37.68834,145.52175,100,2,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,00:00.0
3932253,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,6-Aug-91,-37.64424,144.50827,100,1,,,Observation,FAUNA,22,VIC,350,7,,432178,,00:00.0
3942343,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,12-Jun-84,-36.1006,144.84116,100,,,,Seen,FAUNA,39,VIC,,6,3232,432594,,00:00.0
3944929,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,General observations,29-Oct-92,-38.64496,146.57209,100,10,,,Heard,FAUNA,18,VIC,370,9,,432729,,00:00.0
3964549,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,7-Jan-94,-36.84391,142.47681,100,,,,Observation,FAUNA,36,VIC,332,2,,437793,,00:00.0
3974071,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,12-Aug-85,-34.22946,142.22336,100,,,,Seen,FAUNA,29,VIC,345,1,4887,442047,,00:00.0
3978675,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,1-Sep-94,-37.78661,145.03149,100,2,,,Heard,FAUNA,3,VIC,376,7,,443384,,00:00.0
3978675,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,1-Sep-94,-37.78661,145.03149,100,2,,,Heard,FAUNA,3,VIC,376,7,,443384,,00:00.0
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22-Aug-94,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,00:00.0
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22-Aug-94,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,00:00.0
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22-Aug-94,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,00:00.0
3978699,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,22-Aug-94,-37.82882,145.02242,100,2,,,Heard,FAUNA,7,VIC,376,7,,443391,,00:00.0
3978699,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,22-Aug-94,-37.82882,145.02242,100,2,,,Heard,FAUNA,7,VIC,376,7,,443391,,00:00.0
3978708,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,23-Aug-94,-37.83171,144.9803,100,1,,Breeding,Seen,FAUNA,2,VIC,343,7,,443393,,00:00.0
3978707,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,23-Aug-94,-37.83171,144.9803,100,3,,Breeding,Captured and released,FAUNA,2,VIC,343,7,,443393,,00:00.0
3984812,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Cage trap,14-May-94,-37.95565,145.49364,100,4,,,Captured and released,FAUNA,40,VIC,311,7,,443792,,00:00.0
3984813,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Cage trap,14-May-94,-37.95565,145.49364,100,1,,,Captured and released,FAUNA,40,VIC,311,7,,443792,,00:00.0
3986926,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,26-Sep-82,-36.70677,144.96984,100,,,,Observation,FAUNA,25,VIC,364,6,,443936,,00:00.0
3987153,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,General observations,24-Mar-95,-37.36868,145.27735,100,3,,,Observation,FAUNA,16,VIC,355,6,,443952,,00:00.0
3987297,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,11-May-95,-37.06096,146.74537,100,4,,,Captured and released,FAUNA,12,VIC,300,8,3319,443960,,00:00.0
3987296,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,11-May-95,-37.06096,146.74537,100,14,,,Captured and released,FAUNA,12,VIC,300,8,3319,443960,,00:00.0
3992046,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,9-Sep-95,-37.88986,144.21007,100,,,,Seen,FAUNA,15,VIC,324,5,,444708,,00:00.0
4002148,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,General observations,23-Mar-96,-37.36868,145.27735,100,7,,,Observation,FAUNA,11,VIC,355,6,,446988,,00:00.0
4002181,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Cage trap,18-Jul-94,-36.70863,146.82603,100,2,,,Captured and released,FAUNA,2,VIC,300,8,3303,447003,,00:00.0
4002182,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Cage trap,18-Jul-94,-36.70863,146.82603,100,1,,,Captured and released,FAUNA,2,VIC,300,8,3303,447003,,00:00.0
4002186,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Cage trap,26-Jul-94,-37.24327,142.5432,100,2,,,Captured and released,FAUNA,1,VIC,357,2,3316,447006,,00:00.0
