UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
613779,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,13/OCT/1988,-37.00972,142.72417,15,,,,,FLORA,113,VIC,357,2,3396,246005,,16/AUG/11 12:00:00.000000000 AM
2001011,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,16/FEB/1999,-38.06222,147.55722,15,,,,,FLORA,23,VIC,370,9,,392381,,16/AUG/11 12:00:00.000000000 AM
2001732,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,12/MAY/1999,-38.05917,147.55528,15,,,,,FLORA,27,VIC,370,9,,392411,,16/AUG/11 12:00:00.000000000 AM
2001967,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,13/MAY/1999,-38.15,147.4225,15,,,,,FLORA,32,VIC,370,9,3362,392419,,16/AUG/11 12:00:00.000000000 AM
2002392,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,15/OCT/1999,-38.075,147.53083,15,,,,,FLORA,35,VIC,370,9,3362,392434,,16/AUG/11 12:00:00.000000000 AM
2655033,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,auto review from accepted distrib,Species List for Defined Area,02/NOV/2009,-37.03861,142.37806,5,,,,,FLORA,51,VIC,332,2,,408121,,16/AUG/11 12:00:00.000000000 AM
3892275,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,05/NOV/1989,-37.22267,144.04555,100,3,,,Seen,FAUNA,60,VIC,353,4,,428241,,16/AUG/11 12:00:00.000000000 AM
3913538,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,13/OCT/1990,-36.9404,145.1478,100,,,,Observation,FAUNA,26,VIC,364,6,171,431260,,16/AUG/11 12:00:00.000000000 AM
3920111,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,23/JUL/1991,-36.50235,145.77686,100,6,,,Observation,FAUNA,9,VIC,364,6,,431559,,16/AUG/11 12:00:00.000000000 AM
3922496,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,General observations,13/SEP/1991,-38.31185,144.14823,100,,,,Seen,FAUNA,37,VIC,365,5,1050,431798,,16/AUG/11 12:00:00.000000000 AM
3923667,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14/NOV/1991,-38.35692,144.97151,100,4,,,Captured and released,FAUNA,100,VIC,352,7,,431834,,16/AUG/11 12:00:00.000000000 AM
